event_id,year,month,event_type,country,region,deaths,people_affected,damage_million_usd,duration_days,area_km2,is_billion_dollar_event
EV002893,1981,2,Drought,TO,Oceania,2,1688689,1506.8,2,1484,1
EV003055,1981,2,Heatwave,KR,Asia,659,13387,60.3,8,2324,0
EV004416,1981,2,Drought,UA,Europe,82,1969823,202.8,4,3303,0
EV000038,1981,3,Heatwave,EG,Africa,533,596796,104.8,3,1546,0
EV000705,1981,3,Flood,NA,Africa,437,212441,499.9,7,327,0
EV001862,1981,3,Flood,AS,Oceania,276,510880,54.7,1,5735,0
EV002170,1981,3,Heatwave,ZM,Africa,6346,53801,410.9,6,245,0
EV002514,1981,3,Tornado,TM,Asia,1,6838,542.3,2,780,0
EV003121,1981,3,Flood,MM,Asia,4,172452,718.3,13,42465,0
EV003940,1981,3,Flood,IE,Europe,57,145450,553.1,3,668,0
EV000090,1981,4,Heatwave,NG,Africa,212,211641,101.9,12,3410,0
EV000821,1981,4,Flood,RO,Europe,60,159955,616.6,2,2550,0
EV002397,1981,4,Heatwave,TL,Asia,305,36670,1028.5,1,33672,1
EV003233,1981,4,Hurricane,VN,Asia,9,604962,5207.3,17,1018,1
EV003272,1981,4,Flood,CO,SouthAmerica,101,255118,563.9,5,9201,0
EV003446,1981,4,Flood,CF,Africa,124,239379,1763.7,10,55919,1
EV003518,1981,4,Hurricane,IN,Asia,67,100458,2883.1,7,880,1
EV000052,1981,5,Wildfire,AL,Europe,58,11825,8965.2,2,2862,1
EV000602,1981,5,Drought,HU,Europe,1,281658,3997.3,1,11147,1
EV001338,1981,5,Drought,TD,Africa,21,1124319,732.6,17,381,0
EV001493,1981,5,Blizzard,HK,Asia,9,12370,147.1,3,3458,0
EV002219,1981,5,Flood,US,NorthAmerica,30,758958,1006.7,6,1622,1
EV003488,1981,5,Cyclone,PK,Asia,58,232929,6358.9,10,2264,1
EV000152,1981,6,Flood,DK,Europe,213,236827,758.6,8,1437,0
EV001029,1981,6,Drought,UA,Europe,7,706221,2862.3,23,169,1
EV001065,1981,6,Drought,TJ,Asia,22,1446258,1807.3,8,720,1
EV001067,1981,6,Flood,SE,Europe,60,327296,65.8,15,3545,0
EV001134,1981,6,Wildfire,SL,Africa,45,119145,3064.4,1,5517,1
EV001571,1981,6,Flood,CA,NorthAmerica,84,186811,408.8,3,1585,0
EV001612,1981,6,Drought,LK,Asia,15,3348952,4239.6,31,2068,1
EV001719,1981,6,Heatwave,SI,Europe,172,955401,1525.9,1,25667,1
EV002964,1981,6,Drought,PG,Oceania,12,722749,3963.8,9,8351,1
EV002971,1981,6,Blizzard,DK,Europe,11,29355,197.6,11,7496,0
EV003394,1981,6,Flood,MD,Europe,196,599354,514.9,3,1180,0
EV003604,1981,6,Flood,LK,Asia,52,526283,774.3,3,1207,0
EV000018,1981,7,Blizzard,TD,Africa,9,2497,137.5,13,4290,0
EV000461,1981,7,Flood,CZ,Europe,121,1629324,2328.8,1,608,1
EV000710,1981,7,Tornado,BN,Asia,48,6340,178.0,5,4104,0
EV000833,1981,7,Drought,GA,Africa,13,344034,766.9,9,878,0
EV000848,1981,7,Hurricane,CH,Europe,69,71258,1696.7,13,3183,1
EV002944,1981,7,Flood,ER,Africa,142,113676,36.7,2,33596,0
EV003332,1981,7,Flood,KH,Asia,101,173828,173.2,3,290,0
EV000646,1981,8,Hurricane,IE,Europe,84,139818,1937.5,11,5235,1
EV000915,1981,8,Flood,SA,Asia,22,1305826,982.7,20,841,0
EV002243,1981,8,Heatwave,NA,Africa,350,162298,241.0,8,4915,0
EV002290,1981,8,Heatwave,AS,Oceania,996,39419,134.9,6,333,0
EV002815,1981,8,Flood,LR,Africa,30,53180,318.9,7,3223,0
EV004474,1981,8,Drought,SZ,Africa,45,5278588,295.1,6,4167,0
EV000661,1981,9,Wildfire,SD,Africa,0,32711,644.8,7,3468,0
EV001164,1981,9,Drought,CN,Asia,6,255857,1658.9,4,1426,1
EV002126,1981,9,Hurricane,WS,Oceania,163,330066,1957.3,8,519,1
EV002846,1981,9,Cyclone,PH,Asia,126,460405,5516.0,5,374,1
EV003440,1981,9,Wildfire,IR,Asia,136,49510,937.4,16,1571,0
EV003874,1981,9,Flood,SS,Africa,58,495079,437.5,1,4196,0
EV003919,1981,9,Drought,MY,Asia,6,190013,319.7,17,22445,0
EV004100,1981,9,Wildfire,VN,Asia,26,10647,92.5,1,4333,0
EV004403,1981,9,Flood,TJ,Asia,273,297127,379.4,2,775,0
EV004489,1981,9,Heatwave,LT,Europe,489,53216,23.8,4,1758,0
EV004491,1981,9,Flood,SZ,Africa,28,574114,1550.1,11,2605,1
EV000281,1981,10,Drought,UA,Europe,13,601833,89.1,2,2007,0
EV000331,1981,10,Flood,VN,Asia,101,38488,192.7,16,11194,0
EV000374,1981,10,Tornado,MG,Africa,6,1788,1487.3,7,363,1
EV000381,1981,10,Heatwave,AF,Asia,114,126797,77.5,13,17063,0
EV000575,1981,10,Drought,NZ,Oceania,1,5470041,2625.8,4,3796,1
EV001022,1981,10,Drought,SI,Europe,1,890969,155.7,4,3752,0
EV001136,1981,10,Drought,NP,Asia,13,976368,1192.2,7,15302,1
EV001188,1981,10,Cyclone,ST,Africa,36,2289333,2773.4,7,881,1
EV002089,1981,10,Hurricane,TD,Africa,381,112808,1084.2,9,165,1
EV002633,1981,10,Flood,NO,Europe,115,495366,682.2,5,10914,0
EV000024,1981,11,Tornado,EC,SouthAmerica,9,4771,56.8,6,830,0
EV001408,1981,11,Drought,ML,Africa,41,329456,1824.5,12,4531,1
EV001522,1981,11,Flood,FR,Europe,49,199217,1018.3,8,648,1
EV001775,1981,11,Hurricane,CD,Africa,96,216033,1247.6,5,695,1
EV001864,1981,11,Blizzard,AL,Europe,7,14869,128.4,7,6097,0
EV002934,1981,11,Hurricane,AT,Europe,17,227347,240.0,7,2060,0
EV003111,1981,11,Cyclone,MZ,Africa,77,200720,6616.0,7,2403,1
EV003236,1981,11,Hurricane,BN,Asia,107,137297,4281.3,3,6456,1
EV000051,1981,12,Drought,GN,Africa,8,1919252,348.5,16,394,0
EV000925,1981,12,Heatwave,AF,Asia,151,67954,103.2,8,4252,0
EV000928,1981,12,Drought,IS,Europe,5,3616835,386.7,1,1164,0
EV001105,1981,12,Hurricane,IN,Asia,39,621113,1111.3,6,12658,1
EV001116,1981,12,Blizzard,XK,Europe,29,14245,192.5,4,9003,0
EV001583,1981,12,Drought,BO,SouthAmerica,26,2824102,537.6,2,3701,0
EV002347,1981,12,Heatwave,TM,Asia,496,31852,689.5,4,730,0
EV004109,1981,12,Flood,KI,Oceania,29,93251,124.7,13,6602,0
EV004483,1981,12,Wildfire,PL,Europe,25,21311,809.2,3,7759,0
EV000039,1982,1,Wildfire,SI,Europe,25,93890,99.0,1,305,0
EV000349,1982,1,Drought,NR,Oceania,12,481779,86.3,22,68,0
EV001021,1982,1,Cyclone,BW,Africa,663,159409,1147.5,4,2508,1
EV001322,1982,1,Flood,HR,Europe,269,41765,2111.6,3,1541,1
EV001886,1982,1,Drought,MW,Africa,2,200257,9827.4,1,2189,1
EV003304,1982,1,Heatwave,TW,Asia,321,26232,424.2,4,9548,0
EV003367,1982,1,Wildfire,CN,Asia,11,9299,1524.3,4,2479,1
EV004208,1982,1,Heatwave,CI,Africa,54,341026,577.8,11,5166,0
EV000100,1982,2,Flood,AO,Africa,32,411264,992.2,17,10519,0
EV000391,1982,2,Hurricane,RU,Europe,105,99069,519.8,5,5811,0
EV000534,1982,2,Flood,ST,Africa,68,449575,277.3,3,4267,0
EV001557,1982,2,Flood,UZ,Asia,137,334416,94.4,4,2190,0
EV002261,1982,2,Blizzard,NZ,Oceania,12,24441,678.9,7,2272,0
EV002899,1982,2,Flood,FJ,Oceania,107,190326,865.7,3,3911,0
EV003605,1982,2,Cyclone,HU,Europe,123,1107086,2114.3,2,14279,1
EV004206,1982,2,Tornado,KR,Asia,5,8585,234.1,22,13076,0
EV004368,1982,2,Drought,DE,Europe,9,2768541,12859.7,8,3785,1
EV004433,1982,2,Drought,PH,Asia,20,2825181,295.9,4,2152,0
EV000660,1982,3,Flood,SB,Oceania,61,30948,294.3,1,15739,0
EV000807,1982,3,Hurricane,GL,NorthAmerica,36,118855,2122.4,6,1172,1
EV000996,1982,3,Hurricane,IE,Europe,103,221211,6475.5,2,1075,1
EV001517,1982,3,Wildfire,SS,Africa,7,554990,1610.0,3,994,1
EV001580,1982,3,Drought,VE,SouthAmerica,15,826120,1345.5,5,4615,1
EV001851,1982,3,Drought,KR,Asia,103,512938,491.7,9,10550,0
EV003091,1982,3,Hurricane,PT,Europe,114,357351,4226.7,1,115,1
EV003251,1982,3,Cyclone,SG,Asia,250,293766,2693.3,3,2804,1
EV003848,1982,3,Hurricane,KG,Asia,189,359997,4416.8,11,167,1
EV004429,1982,3,Flood,BG,Europe,35,170522,402.4,15,4126,0
EV000778,1982,4,Blizzard,HU,Europe,3,30814,140.6,3,3194,0
EV001177,1982,4,Flood,CV,Africa,35,75830,1272.8,3,585,1
EV001824,1982,4,Drought,PY,SouthAmerica,10,773871,505.7,5,8430,0
EV003399,1982,4,Flood,SL,Africa,24,75864,139.2,7,434,0
EV004121,1982,4,Cyclone,BG,Europe,892,193513,869.3,8,4144,0
EV001409,1982,5,Tornado,JP,Asia,87,9766,3751.7,3,10545,1
EV001498,1982,5,Wildfire,CF,Africa,2,60025,711.1,2,2737,0
EV001547,1982,5,Flood,TN,Africa,54,17058,145.8,3,747,0
EV002145,1982,5,Flood,ML,Africa,88,149870,81.8,2,1369,0
EV002156,1982,5,Heatwave,GE,Asia,1435,58624,204.7,27,101,0
EV003171,1982,5,Flood,UG,Africa,41,277660,153.5,4,2719,0
EV003187,1982,5,Flood,MY,Asia,79,20021,265.1,3,1731,0
EV000207,1982,6,Drought,ES,Europe,17,364683,184.8,12,2594,0
EV001034,1982,6,Wildfire,GQ,Africa,15,77842,585.8,5,2809,0
EV001501,1982,6,Flood,SZ,Africa,35,705532,580.8,2,2128,0
EV002146,1982,6,Flood,ML,Africa,332,88183,1008.5,25,3421,1
EV002962,1982,6,Flood,TL,Asia,223,156363,452.6,11,11068,0
EV003144,1982,6,Cyclone,MD,Europe,221,1776247,8397.7,11,3054,1
EV003684,1982,6,Hurricane,GQ,Africa,31,607191,6533.1,6,1071,1
EV003738,1982,6,Flood,BA,Europe,90,136418,2302.4,5,1449,1
EV003858,1982,6,Wildfire,ZW,Africa,4,30529,2633.1,11,929,1
EV000512,1982,7,Wildfire,SI,Europe,31,93480,2540.0,10,3236,1
EV000723,1982,7,Flood,MK,Europe,144,130198,329.7,2,254,0
EV001045,1982,7,Drought,GW,Africa,28,1067407,1680.2,7,4969,1
EV001262,1982,7,Wildfire,ES,Europe,28,112195,590.6,3,467,0
EV002260,1982,7,Wildfire,UY,SouthAmerica,4,14926,2045.0,4,3305,1
EV003713,1982,7,Blizzard,SN,Africa,1,17914,517.7,3,2076,0
EV004115,1982,7,Wildfire,MD,Europe,172,60410,2509.9,4,141,1
EV004487,1982,7,Heatwave,KZ,Asia,25,132828,364.7,6,11554,0
EV000088,1982,8,Tornado,IS,Europe,5,9461,396.0,9,1954,0
EV000418,1982,8,Drought,SB,Oceania,0,1472060,1154.8,20,4139,1
EV003039,1982,8,Flood,TJ,Asia,15,246581,123.2,5,6470,0
EV004119,1982,8,Tornado,ES,Europe,14,1098,114.2,2,8548,0
EV000183,1982,9,Wildfire,TH,Asia,89,5500,526.5,10,11880,0
EV000817,1982,9,Hurricane,MH,Oceania,27,313007,9480.7,9,750,1
EV002185,1982,9,Flood,BY,Europe,106,39471,75.5,5,3989,0
EV002845,1982,9,Flood,KR,Asia,25,1083944,241.6,7,5199,0
EV003298,1982,9,Heatwave,AU,Oceania,295,152699,152.4,6,26686,0
EV003570,1982,9,Flood,KR,Asia,209,31884,626.8,6,6441,0
EV000727,1982,10,Flood,IE,Europe,34,852125,848.0,10,32157,0
EV000788,1982,10,Flood,TZ,Africa,53,32797,884.9,5,2128,0
EV001051,1982,10,Flood,TJ,Asia,79,124601,846.8,4,2187,0
EV001140,1982,10,Blizzard,GH,Africa,12,22748,131.6,42,3843,0
EV002065,1982,10,Heatwave,TJ,Asia,56,48243,62.9,18,3781,0
EV002989,1982,10,Hurricane,CH,Europe,677,345363,7087.7,2,780,1
EV003932,1982,10,Flood,DE,Europe,39,208603,373.7,1,3074,0
EV000153,1982,11,Flood,AU,Oceania,24,199386,1613.2,5,8621,1
EV000538,1982,11,Drought,BO,SouthAmerica,35,1683866,1805.4,15,3209,1
EV001905,1982,11,Drought,FJ,Oceania,10,1057895,177.7,3,9019,0
EV002139,1982,11,Hurricane,DK,Europe,108,130396,3890.7,2,5830,1
EV003016,1982,11,Drought,PL,Europe,33,3833637,2101.8,5,4844,1
EV003035,1982,11,Flood,PE,SouthAmerica,52,58453,117.3,3,994,0
EV004210,1982,11,Flood,MK,Europe,46,513217,302.3,10,5365,0
EV000103,1982,12,Flood,PK,Asia,133,179665,192.2,14,32636,0
EV001637,1982,12,Drought,BD,Asia,29,1699397,290.4,2,1553,0
EV001975,1982,12,Heatwave,SZ,Africa,197,78045,199.4,12,2980,0
EV002331,1982,12,Wildfire,CI,Africa,13,81386,385.5,3,1467,0
EV002877,1982,12,Flood,NL,Europe,188,564192,605.8,4,2459,0
EV003540,1982,12,Heatwave,RS,Europe,448,248441,438.2,6,1553,0
EV004086,1982,12,Heatwave,KI,Oceania,1562,110810,95.9,3,4521,0
EV004124,1982,12,Drought,CG,Africa,294,1864380,1294.4,12,920,1
EV003136,1983,1,Flood,TO,Oceania,81,66580,275.8,11,15133,0
EV003137,1983,1,Hurricane,SZ,Africa,187,86621,26815.7,1,1304,1
EV004285,1983,1,Cyclone,GQ,Africa,1712,601614,4000.2,4,304,1
EV004467,1983,1,Wildfire,AU,Oceania,7,213034,747.5,4,229,0
EV001162,1983,2,Blizzard,FI,Europe,1,28194,416.1,1,2036,0
EV003160,1983,2,Drought,MW,Africa,97,757392,212.4,4,772,0
EV003195,1983,2,Cyclone,IE,Europe,114,200226,3107.9,5,932,1
EV000086,1983,3,Hurricane,PL,Europe,320,131202,1773.7,3,577,1
EV000929,1983,3,Flood,MY,Asia,39,19176,209.3,12,879,0
EV001016,1983,3,Drought,US,NorthAmerica,6,6868249,171.6,45,426,0
EV001370,1983,3,Flood,TN,Africa,447,80201,120.6,7,7844,0
EV001786,1983,3,Tornado,AR,SouthAmerica,15,6852,90.2,12,9503,0
EV001789,1983,3,Drought,ZM,Africa,16,505559,1425.3,12,2889,1
EV001932,1983,3,Blizzard,BN,Asia,8,102269,61.1,2,1822,0
EV002155,1983,3,Heatwave,JP,Asia,151,66012,60.1,6,2581,0
EV002201,1983,3,Drought,CI,Africa,10,10000000,3343.8,17,21320,1
EV002380,1983,3,Flood,BF,Africa,359,611361,294.3,1,3043,0
EV002604,1983,3,Drought,BT,Asia,11,411681,135.2,3,212,0
EV002725,1983,3,Drought,MN,Asia,8,426753,1375.7,20,1998,1
EV003211,1983,3,Wildfire,AM,Asia,41,34186,934.9,3,1044,0
EV000227,1983,4,Hurricane,CA,NorthAmerica,28,498943,2385.1,11,11170,1
EV001213,1983,4,Flood,BO,SouthAmerica,144,345096,173.2,19,15486,0
EV001305,1983,4,Drought,LS,Africa,0,966981,806.4,4,4881,0
EV001623,1983,4,Wildfire,AL,Europe,20,72890,3900.3,4,959,1
EV002467,1983,4,Cyclone,TZ,Africa,71,1663441,486.3,6,744,0
EV003010,1983,4,Hurricane,NP,Asia,81,11490,4336.3,2,1585,1
EV003510,1983,4,Tornado,AT,Europe,9,1806,92.2,6,1315,0
EV003905,1983,4,Hurricane,JP,Asia,60,330380,4843.6,1,6172,1
EV004150,1983,4,Blizzard,SN,Africa,12,709498,23.2,2,6196,0
EV004226,1983,4,Heatwave,KZ,Asia,40,212255,65.5,7,243,0
EV000095,1983,5,Hurricane,MK,Europe,52,666426,937.5,2,3284,0
EV000364,1983,5,Flood,BD,Asia,34,45062,104.6,2,3765,0
EV001368,1983,5,Wildfire,VE,SouthAmerica,2,125002,1084.2,11,64172,1
EV001445,1983,5,Drought,MN,Asia,2,991489,1146.0,6,197,1
EV001528,1983,5,Cyclone,UA,Europe,50,905160,4897.3,22,2837,1
EV001807,1983,5,Blizzard,GE,Asia,6,74670,563.4,8,8588,0
EV002465,1983,5,Flood,MM,Asia,368,103801,314.8,2,1050,0
EV003350,1983,5,Blizzard,BG,Europe,107,33571,157.3,9,6525,0
EV003566,1983,5,Flood,VN,Asia,132,465248,224.2,4,1867,0
EV004360,1983,5,Hurricane,BD,Asia,99,110765,9031.4,2,643,1
EV004465,1983,5,Flood,GR,Europe,45,811291,902.0,6,739,0
EV000550,1983,6,Wildfire,BO,SouthAmerica,6,29103,1418.8,2,47956,1
EV001232,1983,6,Heatwave,CH,Europe,439,47158,327.7,4,12741,0
EV001372,1983,6,Tornado,GA,Africa,0,17037,127.5,3,653,0
EV001433,1983,6,Heatwave,AO,Africa,286,28833,49.2,33,3239,0
EV002656,1983,6,Heatwave,VU,Oceania,1135,230151,202.5,13,3962,0
EV002695,1983,6,Flood,ER,Africa,140,212705,434.4,6,1211,0
EV002707,1983,6,Heatwave,DJ,Africa,98,682426,202.7,14,1370,0
EV003158,1983,6,Blizzard,NG,Africa,1,24808,188.5,16,3408,0
EV003409,1983,6,Cyclone,SB,Oceania,22,184974,1290.0,2,6012,1
EV004055,1983,6,Drought,GE,Asia,3,3448100,302.1,2,217131,0
EV004237,1983,6,Drought,TO,Oceania,19,2985064,1170.1,15,340,1
EV000361,1983,7,Hurricane,JP,Asia,124,57912,821.8,5,1752,0
EV000443,1983,7,Heatwave,VN,Asia,3415,182182,64.7,22,1059,0
